Compound	toxicity	score	n_refs	pubmed_ids
Cyprodinil	genotoxicity	3.80	2	22389207,33211291
Cyprodinil	neurotoxicity	2.96	1	27999363
Cyprodinil	hepatotoxicity	6.00	1	32194361
Isoproturon	neurotoxicity	0.75	1	8112777
Isoproturon	genotoxicity	2.91	5	2279779,9804902,19662224,17685461,11723721
1-(1-(4,4-bis(4-fluorophenyl)butyl)-4-piperidinyl)-1,3-dihydro-2H-Benzimidazol-2-one	hepatotoxicity	1.56	2	20843939,20553011
1-(1-(4,4-bis(4-fluorophenyl)butyl)-4-piperidinyl)-1,3-dihydro-2H-Benzimidazol-2-one	neurotoxicity	-1.48	1	22037410
1-(1-(4,4-bis(4-fluorophenyl)butyl)-4-piperidinyl)-1,3-dihydro-2H-Benzimidazol-2-one	genotoxicity	-0.64	2	27362876,15962942
1-(1-(4,4-bis(4-fluorophenyl)butyl)-4-piperidinyl)-1,3-dihydro-2H-Benzimidazol-2-one	cardiotoxicity	3.19	12	36181876,10908518,16489111,2880980,24194433,11721647,22033499,11377395,24052561,17636692,9951426,21234705
Pentachlorophenol	genotoxicity	3.94	57	11719101,18616954,1698568,25266636,11815249,21903177,25243916,32036526,12851116,12376906,21292364,17185266,18951944,21782742,8896714,22125591,6400924,15207384,10754264,7586180,29596660,16169061,9233372,8157216,10708980,12547631,11849736,1987456,1879408,10696769,11342246,15921213,23427611,16697250,26198647,33527244,16398121,19408893,24586814,21924276,11170506,31046239,30874336,12068974,9485541,21893342,8318762,32854525,11512281,15506208,25244865,1530660,19484729,1328623,16904934,8330339,25608107
Pentachlorophenol	hepatotoxicity	2.23	8	10997939,31463753,11400910,7170593,23972907,10097515,22666246,22331495
Pentachlorophenol	neurotoxicity	1.44	9	32217413,8766847,7298207,36525829,20049217,19146868,17185266,12825237,21540483
Pentachlorophenol	immunotoxicity	4.92	12	6278678,1771635,36525829,36104908,24586814,6764429,15621336,4049436,15386086,24051191,20633635,22089840
Pentachlorophenol	hematotoxicity	3.42	1	21635189
Fulvestrant	genotoxicity	2.13	20	28985473,18634860,16462019,11896754,15319301,15645127,22439007,29362861,17268063,9276643,17156947,15119192,18973785,18497090,17909072,32986415,15548639,20951759,17272310,18473748
Fulvestrant	hepatotoxicity	1.01	2	30601772,23956101
Fulvestrant	neurotoxicity	1.67	13	22948038,15843507,30830211,12832521,20858508,21278053,35439536,15943860,10797534,24726523,12372006,17131424,24437944
Fulvestrant	immunotoxicity	1.89	2	34147605,29195089
Fulvestrant	hematotoxicity	4.12	2	33820647,36000362
Fulvestrant	nephrotoxicity	-1.85	1	31756345
Ethoprop	genotoxicity	2.92	1	36892198
Ethoprop	cardiotoxicity	4.59	1	11276828
Ethoprop	hepatotoxicity	7.13	2	32194361,11276828
Ethoprop	neurotoxicity	5.09	4	21907279,11276828,11334361,31324839
Ethoprop	nephrotoxicity	4.27	2	11334361,11276828
2-Methylimidazole	genotoxicity	3.27	1	24401039
4-Methylimidazole	neurotoxicity	2.10	1	17342198
4-Methylimidazole	genotoxicity	4.53	6	26634952,32745573,24401039,28140688,34174380,26765635
Raloxifene_hydrochloride	genotoxicity	1.09	13	22223434,24598415,33194937,21600284,11896754,20824696,15962942,17489582,16019385,20073065,14755680,16780365,11323158
Raloxifene_hydrochloride	neurotoxicity	0.92	8	11400179,21536054,25218046,16120186,21564348,32061655,15590986,19027052
Raloxifene_hydrochloride	hepatotoxicity	1.11	6	16937543,33315311,23721565,22931300,20553011,20843939
Raloxifene_hydrochloride	nephrotoxicity	0.30	4	35034874,20616005,26439246,17497471
Ampicillin	cardiotoxicity	-3.44	1	7229771
Ampicillin	genotoxicity	-0.15	31	15880735,21931523,21138557,26212307,28634040,18836529,26198647,22606376,22532836,20684776,12937953,21632981,6745960,24914899,36116918,28789907,15962942,11695550,19366437,21637693,19248815,15640952,16834716,18267022,22580102,20508844,10029677,21637673,2973564,22008149,19464038
Ampicillin	nephrotoxicity	0.97	38	28412957,11766781,29969596,8619902,2627266,23676604,668378,28166656,12917251,3849259,29337066,35038556,4325688,6927634,12571406,1187001,449873,17304422,34751788,523366,3310282,3888810,21085665,9255195,5289757,33998665,17438316,12810976,6803353,6146123,18501431,23328923,7413308,869655,6760676,3316564,32357212,9727317
Ampicillin	ototoxicity	5.29	14	33998665,1856141,606305,438542,8270363,6803353,8179270,463341,4666432,1087098,23676604,21818312,12810976,11766781
Ampicillin	neurotoxicity	-1.22	12	4449190,5035587,984964,8372038,5711037,9562146,4369786,35210541,16778737,21060878,20363141,22413862
Ampicillin	hepatotoxicity	2.43	12	3994343,24747151,21586591,17516833,26256586,4590715,12639171,22564299,18350147,24721472,9010640,20843939
Ampicillin	immunotoxicity	-2.02	1	16529656
Bis(4-hydroxyphenyl)methane	genotoxicity	5.04	7	31207516,26916392,32244372,21656223,21770713,18973785,31875995
Bis(4-hydroxyphenyl)methane	immunotoxicity	7.31	4	34147605,31453682,29195089,35387338
Bis(4-hydroxyphenyl)methane	neurotoxicity	3.39	2	36030852,31332466
Bis(4-hydroxyphenyl)methane	hepatotoxicity	5.43	1	35690219
Hydroxyzine_dihydrochloride	genotoxicity	-1.10	1	34993972
Hydroxyzine_dihydrochloride	cardiotoxicity	0.78	2	9526560,10664607
Hydroxyzine_dihydrochloride	hepatotoxicity	2.04	2	11034010,22931300
Hydroxyzine_dihydrochloride	neurotoxicity	-1.00	1	29730027
Omeprazole	nephrotoxicity	0.02	13	12501222,29759903,32092686,27716846,36127547,36243147,32418911,21340123,30452898,23042259,26204831,21753897,8442906
Omeprazole	neurotoxicity	-0.54	10	12720151,26610794,23662315,33793790,16368917,19232345,28400261,21360757,31348918,18539913
Omeprazole	hepatotoxicity	2.34	20	8146827,2136526,25849576,35994611,16096600,9919455,32308801,32290899,18719456,9246016,20829430,18274956,19483382,23850985,23956101,22931300,21961524,19173722,27794450,31348918
Omeprazole	cardiotoxicity	1.03	2	22108788,25224353
Omeprazole	genotoxicity	1.17	36	29656158,1969996,1717845,2038267,2209289,33476036,1702519,7917071,32308801,1968609,8432480,1968122,2022153,1860629,15119530,2093011,9846994,1518411,2093013,8379045,1968153,2093012,7901734,1795642,2093014,1347330,2038270,1380115,12235919,2093015,16020200,15962942,18325085,21766833,22249086,19498009
Trichlorfon	hepatotoxicity	2.88	6	1475794,5044336,9595967,10362441,28541126,1206768
Trichlorfon	neurotoxicity	3.42	17	32814146,9513919,30550875,7344417,10509429,30599431,499029,6733596,7182609,18569613,27939611,7387390,9268605,25164203,10706244,6860140,31884009
Trichlorfon	genotoxicity	1.98	7	15277991,22610949,1242301,7074710,8048186,30240524,7344410
2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl_ether	hepatotoxicity	4.88	16	36921498,36660779,34571075,11250805,32682134,26165047,31787299,20686340,25462306,28880749,30849655,20426973,34624399,35007761,34748805,29216509
2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl_ether	neurotoxicity	5.41	45	31837853,27090441,28764964,22710639,21106467,20546880,19380496,22750351,19535737,34655032,25462306,31161897,21182867,28849509,24433068,21284075,34632857,26519795,31468459,21245014,24239914,29407791,27256741,28189061,29151189,19948212,20581093,35243576,21995789,19526529,36584763,28649046,28104350,18367248,36566971,34166751,31468447,21241598,19465108,31468451,24834073,28880749,24317228,21807586,35950316
2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl_ether	immunotoxicity	5.84	8	21791381,12505372,35149409,25462306,32339795,26682527,33571618,30064049
2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl_ether	nephrotoxicity	1.11	2	26676538,33396158
2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl_ether	genotoxicity	3.08	10	26829245,34260953,22710639,28464995,27060352,11999799,17973311,25218094,35243576,36660779
3'-Azido-3'-deoxythymidine	cardiotoxicity	1.46	18	15501479,11221608,26259608,1715447,21461578,28481112,18801031,10984563,20827217,15371630,33161113,28683400,17220403,15371631,1406818,18508390,19558366,20155331
3'-Azido-3'-deoxythymidine	nephrotoxicity	0.03	13	12708566,18291603,29594326,1756695,7527198,19001108,8806849,8081786,16935444,2544840,8739595,10612317,23691697
3'-Azido-3'-deoxythymidine	genotoxicity	2.09	69	17358028,17503660,14981156,29427970,29206312,15313587,24568202,18721840,23559464,17167716,23621933,25344158,12794551,12189183,17358027,18366095,21704725,11058153,25513819,15215330,18291603,9186571,2136564,14743340,35843342,23811826,17358030,15013700,25073973,22293411,26212296,14630359,7954472,21078813,16165166,23261680,8921317,21145792,25635584,34510228,10961609,11917235,30545272,30208744,9701368,9362158,18295533,23811827,24833597,15708581,7510839,20407220,10517977,16850453,1799278,10935684,10774814,27777322,1915312,27806085,10526209,23142536,16395695,17358032,22217549,15890415,21637587,27931817,18206198
3'-Azido-3'-deoxythymidine	ototoxicity	0.27	2	9089033,21430965
3'-Azido-3'-deoxythymidine	hematotoxicity	5.46	18	12400876,8241956,8806849,11710542,9495216,1327866,2540017,12579204,7693435,7692585,7498365,1904164,12883091,11053545,8282060,12030838,1358832,10828265
3'-Azido-3'-deoxythymidine	immunotoxicity	1.65	6	8574138,9793827,7878678,14987953,8390335,8878603
3'-Azido-3'-deoxythymidine	neurotoxicity	0.54	21	20036318,31142800,8847000,9067308,27840304,8018300,20032772,29670213,8423534,8995592,2878246,3331119,11503820,24465628,14975593,26482305,2500498,18801031,15633610,1654410,28895059
3'-Azido-3'-deoxythymidine	hepatotoxicity	2.94	57	16720018,31365477,22938775,20843939,18290996,8438867,27238871,29091279,29017426,19433557,10999509,21282436,12674693,3477654,22931300,21769770,20553011,17501757,1670585,8610958,1693057,19081791,16334418,25586000,2908831,19721097,1358832,16472780,8193419,34222476,19075055,24146933,28619387,17259905,18291603,22293411,11588504,23196830,27497728,11198946,23956101,18505181,18090393,8028690,1626578,21264291,25086301,9848118,8368234,25253124,8692720,27765674,22331495,20136661,19501153,7727768,35658835
Methyleugenol	hepatotoxicity	5.06	5	21459083,28107620,32234424,17691916,8831815
Methyleugenol	genotoxicity	5.62	27	1427504,11006409,23334163,32283503,15635687,23074021,6808388,36367523,22188410,32065101,22302122,21659616,17691916,27154494,21642616,36446765,19657200,15914212,28818686,35690182,8792836,32234424,8155828,22084566,20113858,26542539,21087650
2,4-Dichlorophenoxyacetic_acid	neurotoxicity	4.76	31	3736754,31683446,10778907,12512947,3670558,8479604,31256685,8584279,34125002,35440284,3359212,27734311,22876750,32822938,10869461,19577790,24072463,15660620,34562505,15203183,9398493,35085654,17449452,22677474,11405254,18945337,21577249,16933308,21318024,34896366,17185266
2,4-Dichlorophenoxyacetic_acid	hepatotoxicity	2.01	9	20607813,7338943,12649042,33689533,34144256,31190189,20447766,26631110,20953357
2,4-Dichlorophenoxyacetic_acid	immunotoxicity	3.21	6	9928676,8838642,22677474,24072463,20633635,12184504
2,4-Dichlorophenoxyacetic_acid	nephrotoxicity	1.48	12	32842775,1726651,30583944,18059043,24072463,33689533,11560249,21835467,31496303,15266931,10462545,16617849
2,4-Dichlorophenoxyacetic_acid	genotoxicity	4.59	68	15649642,10477357,12504171,26757743,15386085,34736209,28132076,11113700,22876750,16169061,11815249,34896630,10350602,19563251,10477358,20196147,2761564,11498271,12547631,10406894,7460089,30228061,31987841,36525191,10943490,9216788,15920753,33006436,25734764,16216628,12438013,8625958,35112655,12798768,33753236,33268674,2517189,17540612,7694145,33412448,26950899,34626751,17606385,35191690,15158562,31873893,24279814,2086312,3409877,34705933,33865541,10477356,20797789,11131037,17372986,11423340,35794326,12113764,14644350,12210542,17185266,21768606,11996139,21637697,11827288,11522373,15922807,21637555
2,4-Dichlorophenoxyacetic_acid	cardiotoxicity	-0.31	2	28002765,32901410
Acyclovir	cardiotoxicity	-1.12	3	12799623,9498708,35708889
Acyclovir	nephrotoxicity	2.94	102	20130772,34137387,20862348,2682943,6285711,21859328,25440915,22460395,9515114,1548282,9416391,16138435,19965947,9458538,26735892,8213806,19742270,24863373,21716719,21192814,7840575,34713692,17461998,12741439,2849717,9285038,23312723,12185472,8823538,31772214,6306847,20510647,16137385,22069672,30083888,21992471,11994033,10615548,12100196,21860787,15588117,18755125,20555413,30486699,3706943,24063786,9071704,30308453,26911608,20117065,18656262,1816110,20103497,8519942,15802212,18345723,6311916,27497730,20307148,10586837,2426515,8077713,16646986,3376977,15786387,11532999,27590397,16337174,19588350,14606623,16678005,30741619,19574603,35248614,21788472,32037154,22392452,24177356,12637076,6285712,18373879,20941340,25708691,15861345,12811231,8245883,2748029,16677413,3803209,11428976,8442906,30428841,32360486,22791803,30048817,21994617,25055032,33956193,1660570,17406046,22005269,7811037
Acyclovir	genotoxicity	-0.46	12	10719044,2136564,7607598,20509324,8793014,36075334,3868025,10678363,8700184,12175901,11248359,15962942
Acyclovir	ototoxicity	0.21	2	19415035,20941340
Acyclovir	hematotoxicity	2.82	3	12883091,12426490,20167269
Acyclovir	immunotoxicity	1.33	5	19903337,12222155,1360757,9024946,36416909
Acyclovir	neurotoxicity	4.44	95	9438656,9169653,8018300,26589129,9695629,23528373,8810856,9496746,20095318,14632597,8245883,8893152,28536235,11987691,8228796,22294022,9712461,12748346,1436338,28342892,31171414,28543384,34146428,28370067,34776482,8190194,9859124,14692893,16172845,15969948,24777077,11270274,10853214,12021536,11440418,24942005,31794437,6721312,6285716,25749332,9196501,12227692,15247861,9475829,23851913,22649885,9197149,30669921,32115197,19965947,8038467,15786379,7973922,21187705,28765478,23176110,11359026,2742255,11827004,1766532,2329108,10434723,30531673,17651180,17174341,8416680,15786387,25539699,16857003,14605302,8430717,3335815,9695630,8562758,36601749,27356736,3711686,34713692,32943113,19886325,7777108,2682943,24368610,21087359,1462997,25440915,15340906,19187258,11428976,16540518,1460955,10615548,15802212,16368917,18445909
Acyclovir	hepatotoxicity	2.73	12	22666603,10482463,14661177,2832836,17598911,23295541,15802212,23956101,25163019,22480215,24085192,20829430
Furosemide	ototoxicity	5.47	99	24845404,4107436,2214803,5429815,32143110,2228803,114151,4066523,6949281,21493303,1943418,7338573,27821322,7042998,3833863,3113170,8233492,19830166,24762042,8996652,30193125,29304389,1237956,7338572,21459067,23548607,19861195,16861256,32176146,5539343,8113137,29226816,21678708,532613,5429816,36286446,1305731,6470975,5576449,34194490,9557770,4771892,23756362,348060,24331943,8630999,20450703,22121370,12520253,54985,2923694,4088324,35366769,21044672,29218724,7342018,8318205,6949277,20650042,21455790,496112,32105765,8887885,3424416,31090022,9389339,6697885,1930985,37108758,6185787,30489485,3055805,58190,7205635,19995323,9525243,32505817,24415490,18314661,5445527,2951360,30831441,4051876,5422343,452038,11895059,3962650,1489005,23884329,731608,26574172,6653051,16450683,6973908,7381633,7338574,6801580,29430461,18281904
Furosemide	nephrotoxicity	7.75	170	8033751,3227502,26757005,7714777,3172294,20108541,2909288,8553380,3768510,5488206,21317676,21503209,21491811,35418292,6460885,20862348,7900161,7362227,3736739,8558842,28276070,21642071,15219060,21455790,5074752,8375728,27943125,11503974,34859872,6784924,720079,2032820,20886058,851123,668378,12698179,6890469,7967229,501148,7201831,7191768,16356794,15841080,10616835,31831529,19341836,2109913,19887593,35182603,17113735,3322181,421210,32500843,12719883,15788979,4051876,12387435,7251525,17557559,6286502,35348900,31159750,35509178,18828115,4703097,20640201,22131986,937379,7391978,11987507,2623196,15292922,10609804,872137,12196055,7969286,21800174,18411631,22264570,6830203,7340881,7107971,6889863,7235657,968459,11070820,3053209,159127,35739472,5289757,2576725,36127547,11763992,118952,17879355,22069563,11801579,7211851,19955665,7235811,22145079,32885583,14530108,15880021,21911794,3612527,6684010,2601254,7322842,3778981,7032775,549009,12457304,21738526,16136217,1405611,9419457,6294784,6277229,11735605,6785722,18523527,17658154,11889306,6861853,29926012,16949381,2675557,2812167,17313917,398013,19830166,8305788,7236500,11041285,1874198,23233039,9254992,10924574,29860548,6697885,16530908,22811691,12082335,6420135,1247926,18093429,21911980,4948857,12853687,15615478,18841734,17596207,11668166,20888013,634773,22272048,4040218,11321358,9927057,22699924,21703556,20620467,3447792,3542269,28707190,8314287,2973010,2456393,2774830
Furosemide	hepatotoxicity	2.36	32	23956101,26239606,7328448,18227147,16979156,3817957,6492217,28138970,20843939,2003271,22931300,25962391,16860917,17988989,426429,3190756,24085192,3810658,847756,17556636,8773404,21372386,20553011,2806181,7235811,3963237,20829430,24813929,33035276,20689125,10996478,25423287
Furosemide	neurotoxicity	7.56	12	2774830,2634765,7191768,11735605,15878999,16368917,16617001,20107495,19236167,17658154,19640235,26610794
Furosemide	immunotoxicity	0.23	3	25542143,17092623,7886685
Furosemide	cardiotoxicity	-0.10	11	18068832,17461537,12799623,6684503,11865642,32991436,12433815,22465651,7966129,19918574,22345889
Furosemide	genotoxicity	-1.12	10	21352352,24568202,20504830,20926620,15962942,22272031,12091779,16213548,15781217,20696478
Retinoic_acid	ototoxicity	-0.27	3	34199197,10216172,8655598
Retinoic_acid	hematotoxicity	1.75	3	19029204,20036648,8825669
Retinoic_acid	immunotoxicity	0.26	5	15857604,29945211,26330309,6958659,25934555
Retinoic_acid	neurotoxicity	1.33	79	31910702,19384566,34519134,30980846,34134554,36805303,26497914,24388784,21865574,23590859,34627992,8533998,23903816,24647975,8929002,24047522,22606332,11595692,29408665,35896708,22204138,16721663,7643087,20303946,24269733,12652617,19446249,28063149,16769228,22613348,25683350,27646116,21354195,30593950,34837756,20709413,16251142,26498558,25108670,14966841,12684655,29934755,15473989,19726747,18599177,36198224,33417974,33028897,21351631,24213001,23770249,26364587,8052659,19466606,26856696,15602748,28470528,19476547,32827867,29428877,19056420,9131769,17350151,26724834,9703895,11592119,31037648,23597229,27053772,17596541,15353594,28209268,28385489,29618699,24101030,23884514,28155214,28470517,20865013
Retinoic_acid	hepatotoxicity	1.66	29	25455453,4075287,16740975,7068976,30049333,2413699,19362101,20843939,23168069,34134554,9951549,29579321,19246888,1819996,20553011,29592769,11595692,7263232,25971792,33107373,23764110,421218,6580071,27416278,2322987,26239606,22931300,19850784,23956101
Retinoic_acid	genotoxicity	-0.56	24	2118976,19026740,22110744,15857604,22240155,31024166,3133130,20876357,19676129,9108462,21454011,17426037,25878247,15962942,16273840,7506126,9717530,17347673,29288071,21633925,2165562,33540511,3157610,23913437
Retinoic_acid	nephrotoxicity	-2.21	6	21789447,23710457,28756872,30610249,26659823,10603114
Retinoic_acid	cardiotoxicity	0.85	22	22809260,34134554,36715483,20230404,32336675,26507774,36918482,24052562,18230668,25203460,20735397,36331922,12452732,28356735,22715121,12423680,10065091,29085977,17020459,22989704,23837677,20930262
Hydroxyurea	cardiotoxicity	-0.81	5	20721521,11865642,10065091,18274999,7741138
Hydroxyurea	nephrotoxicity	0.14	14	12094387,2245491,18365543,11486172,14630791,29355720,9124195,21063408,32388496,11876507,33691325,3040919,9221195,22046502
Hydroxyurea	genotoxicity	3.69	209	27863419,22447833,18074021,17182857,16431910,21052491,21490603,31147439,16930478,19464357,22323608,20386668,1986285,22704343,16273241,17396146,14580901,36841969,10198210,15197179,22615860,18250621,26667770,29228353,2918861,6717458,23096362,20440269,12629512,3807938,14993292,21170359,16098139,16997331,33570176,18256544,19374252,21943249,22661230,24049076,19074854,19571309,34031038,29522548,27113759,21372708,22333915,12847089,21967861,17374387,1717845,12416620,21731742,21525980,1588672,16260606,22925776,31508660,17140446,20682043,25806814,32161147,22025679,29512872,23094637,14981162,15122316,12929121,31597699,12839962,21791393,15064746,16344551,22578086,29298824,17622968,19407812,22522598,15120960,19747535,17085973,8432480,22918952,19056684,32482060,20090835,20945455,17272723,11313858,2014007,16446402,25817892,20856872,6704084,19812063,11000264,19723888,7083467,24184448,16407842,24741789,19407858,12955082,19961617,18504617,17786047,29679812,22277748,23160493,16107698,21471937,23780875,22665142,1860629,21440578,31090259,26733669,17726372,11876507,20844576,21698130,30525240,8797886,22003191,28098859,23319600,24906880,11390642,2117252,11255210,24211769,20095849,12663536,20113479,22226529,22888040,21291918,28089177,14568290,11152973,16885023,24399300,22941594,24078015,18342608,16550342,22895166,23468117,2417114,23446853,22194930,17171376,20967229,12697061,19349216,18693109,21248468,21934293,11779799,20230905,25144319,26860083,19704001,34309121,22012708,27825931,21542824,21855649,22296825,18647660,9508360,25755297,2038270,18583959,17634129,29244158,11278582,20436286,22102830,19802007,24175654,17825044,24192836,21324902,22606354,9288458,19638579,22521144,14631870,19558638,3982435,12972057,22021692,11389927,19158081,20926829,8472327,12496996,19458191,18496848,22564307,22783238,15187259,20097740,16127667,24905824,10478336,12438004,16868089
Hydroxyurea	neurotoxicity	0.06	15	28614773,24998649,10465092,8610733,21954354,12684655,3527174,18599177,19165382,22129734,3293456,1208028,34748853,11766348,16983691
Hydroxyurea	hepatotoxicity	1.19	15	19280518,23956101,14967000,17944539,32170957,21264291,21225242,8614909,19440247,11547496,20553011,2770929,21138592,18365543,20843939
Hydroxyurea	hematotoxicity	2.30	2	11048406,20167269
Hydroxyurea	ototoxicity	-0.73	1	8614387
Difenoconazole	genotoxicity	1.82	1	28679351
Difenoconazole	cardiotoxicity	4.48	2	35897858,35792209
Difenoconazole	hepatotoxicity	6.02	4	32480235,35897858,32194361,28679351
Difenoconazole	neurotoxicity	3.98	4	34139443,35897858,36682185,36113268
Difenoconazole	immunotoxicity	4.90	1	35487176
5-Bromo-2'-deoxyuridine	nephrotoxicity	0.30	19	17344223,16397848,32369870,7853753,36158893,1580794,12965114,1816110,27975300,15067513,12637076,20103497,7867905,8872953,16125744,2362986,19931553,1475580,8545838
5-Bromo-2'-deoxyuridine	cardiotoxicity	-2.63	1	408898
5-Bromo-2'-deoxyuridine	ototoxicity	1.32	5	8575991,36330896,10841344,17980524,9822146
5-Bromo-2'-deoxyuridine	hematotoxicity	2.02	2	11274754,9143481
5-Bromo-2'-deoxyuridine	immunotoxicity	1.38	6	9129168,15804460,16480848,6660853,10097526,21112370
5-Bromo-2'-deoxyuridine	neurotoxicity	1.16	39	17242369,19593331,15294348,29950837,27817157,15281069,12942571,11166702,25577171,26966008,23537732,14610234,31863854,23040689,23443965,8794949,15737126,28048979,18550602,18397337,22366222,19894114,12941380,8931454,3963856,35576045,23590859,35297012,10098854,15571976,26769196,31852437,25702528,16183991,28321582,16956662,10097526,22103457,16831955
5-Bromo-2'-deoxyuridine	hepatotoxicity	-0.58	6	9129173,36158893,9035078,10066642,9268606,10330692
5-Bromo-2'-deoxyuridine	genotoxicity	2.32	98	7690881,8545838,6543303,19717638,2505070,12034040,1279358,25499067,8991064,2509900,17581771,3743132,6828033,12452770,6665794,25911309,16621212,6717462,16397848,2209289,12637545,16802149,19671688,17055212,9025090,8578103,12189183,1922142,33999509,3173404,31822012,7285888,31989571,20194422,6529417,3100947,9185996,17306628,11448637,18768699,22665142,20199224,12044546,9268038,17307329,30851126,7281173,14630136,7151225,12792779,18769121,14614190,21870295,24380821,12742503,14562046,17341482,10635989,1881403,21556769,9143481,16023405,1526360,8782434,15201434,3715869,15507380,12011478,21382167,6717476,10333536,24837791,19558368,24623246,18850001,7582851,3982435,12135877,32927807,16137618,7940404,18703420,15220518,21804075,3089772,19802007,21414389,3893787,25416819,17894409,21633925,1800895,16956662,15611093,1493584,15220534,15548639,9928680
Cytarabine	genotoxicity	1.88	95	12232794,31747424,9291482,2067558,10198210,16765631,20438860,22592598,12416620,24799523,7564509,34505878,14580901,12628935,8900110,10803458,11166035,26265695,9365241,24962331,16761155,10961894,21640157,2417114,15971258,20624627,28018917,7525096,11390642,23348613,29852229,9268037,21112930,14766721,27797294,11815248,17094462,10402221,19265549,10200513,10764790,10574931,17306432,10473654,7690249,11815242,24675086,7678131,16782396,7918688,19732725,24972933,18979072,20478394,10930419,11152973,10196170,10613192,14598320,8269635,1732102,23096362,7715617,9756689,9219584,25344161,20348020,17374387,21637673,19850624,11163333,12082016,17951356,18642602,15962942,22294094,16202645,18159231,19967054,21217839,22003191,20796291,20871850,34510228,11876507,18201925,15887213,19628630,12377781,11723252,21382384,12496996,19372559,18006844,12438004
Cytarabine	neurotoxicity	3.29	226	2768785,18844999,2057413,3457102,8742032,11960272,8156541,3906761,19050889,22539243,30537919,2578602,11019787,18191947,27571129,2245495,8435808,18782177,16973216,20225195,29698743,11843810,20532508,6496539,9403207,16172175,2372760,16396765,21270946,6896013,16594237,1734087,17971588,1588374,3925559,22035418,8394169,8689347,7985476,8579586,22438677,11354696,18839172,16707804,1381940,4518764,21633390,1613540,10797527,16211984,15567516,16947320,1389541,11070476,20121554,21645334,7525188,3013396,28130818,20652214,22654527,27383219,1648599,8590845,19034447,33512026,10901609,22129734,32544924,12915019,14872029,7537364,25204639,17658395,7306918,20953896,17907593,3287017,18772215,9053511,25749825,2778484,12426685,10103100,20578038,32606608,25564269,8874342,10071595,21217964,9738568,2131034,22474505,396791,8445943,36419121,21064136,21654882,12485901,16146534,6385604,12942571,11953532,11990514,17170721,284172,1467513,14615443,21445266,22977788,18045196,7943613,3476181,21151585,11461962,27132696,32365382,15794179,22212197,8504443,28165611,36198540,22228634,1868435,12454752,12488408,8614508,15217926,24987945,22619690,18437012,3841220,6888324,10715301,2767107,3892703,17134114,8265445,9092694,3428138,25568347,36127544,10561356,4033929,24931518,6752689,18559610,19430564,20967518,20953897,3470173,15551283,16635431,16826348,11380234,29946854,29288428,4070631,22857737,21998617,10963643,12707070,17233473,12860951,8416707,18310533,20970380,20572029,3432298,21170569,3165047,1961042,3047654,3332167,19933047,11241435,14597744,1688932,18034899,32170867,18836794,9130619,20877724,24947495,2200610,29156200,2011096,3455842,27497340,18766969,15981233,7906900,18067778,19593137,9003155,3978659,24101038,8916313,12590940,2653080,19041267,15634030,21229289,17594344,11198208,18755251,17414574,35102789,17125495,2553238,8374873,12153475,17947720,28614773,18704421,17209054,26688235,24745349,25655468,18040669,22230541,12934079,19696967,3463209,3418727,25521979
Cytarabine	hepatotoxicity	2.69	42	15571270,15232664,1398282,3071762,18258784,10073149,8931744,8453688,2730091,12933575,23152274,25042398,11426487,12554521,8634923,6366149,9255269,23335239,15386563,3886002,3756357,9003155,26377357,3528959,29209924,12114412,17050205,12497211,6594184,33085777,28573946,18030002,1986559,25066676,11781652,3471699,22666603,19920087,20472527,11529252,22931300,23956101
Cytarabine	immunotoxicity	-1.43	1	25934555
Cytarabine	hematotoxicity	4.88	18	1549628,19347767,28432587,20167269,11237390,11048406,8355515,21521023,8555471,27078988,23959450,30948365,22571447,26693800,22242831,10233409,1934254,8769696
Cytarabine	ototoxicity	1.18	6	9093727,1919647,3728372,32273476,8614387,16989457
Cytarabine	cardiotoxicity	3.06	116	19782276,2713963,21810729,9639412,10803507,8996568,17364181,3455751,10358698,19584827,12423680,22082134,6197002,19933047,2583257,11528551,19169607,3481363,9070503,15386563,16219352,8241979,36115066,2644129,16019523,3528963,20522709,8443051,22395219,21509439,20230404,6582678,8259097,2198531,15322763,9592982,16719893,1434803,11237056,6832631,11378544,2580486,2475411,1357108,20735397,8426473,2601024,1551297,3478540,7579436,29090664,3915280,9742636,32541448,7701103,11086179,32683126,922749,16247436,8695837,6597002,6546740,16151589,23319696,31705570,9680105,291502,8205083,2068836,35429328,7655380,10512173,16473794,12165900,2182448,19932589,1578944,10500778,11443603,8290968,16856922,11181656,31771220,3478198,3539307,3161047,1585771,6208468,1543949,2559263,10065091,3295621,9517508,21978702,3062255,7741138,31098682,8916314,30422740,2730091,1580638,2718219,1290961,20007921,22388671,1352605,22321767,17254324,15977964,17691910,21637324,21801706,12681361,17922631,22586509,22345889
