Compound	toxicity	score	n_refs	pubmed_ids
Cadmium_chloride	neurotoxicity	3.94	66	23645211,36002551,29214892,32735850,30213552,22287023,30399392,31738976,31614173,11334361,22013727,30030080,28353032,20829427,33453195,22995398,9000264,28913608,25022246,30614199,30291211,18798284,31433112,20061341,28163110,24692063,32353801,19609937,33182097,34291606,31271426,33387572,24299490,33592257,27396692,23981373,18248923,26621541,24065572,35066145,33039505,1525477,26363133,31626305,24995437,25201352,24111524,33905825,31468353,29253600,33171223,32856499,32621835,34767868,34558789,22767353,30414103,28660360,30973085,19815060,29427035,22101474,27389774,27891586,9609325,27377441
Cadmium_chloride	hepatotoxicity	4.79	61	35183672,33359024,28488724,30852747,8786554,22659462,34331222,6558984,11752694,15102524,29849926,31862506,11961226,32407846,8291068,28422390,2711408,30798185,3341030,33803748,24035924,19378926,36322347,6532985,9230447,23906702,17950719,31863371,34021611,29116755,12049838,29753822,32950861,25159133,21134734,23993482,19748544,11429246,23717155,9073599,34599712,8337695,7536360,10348216,24284284,28110594,11906245,33497711,8829203,12009857,30119224,22677785,36718047,26352046,14650181,9020510,7839364,17949884,25265456,9806425,17897638
Cadmium_chloride	immunotoxicity	5.72	30	12100024,36416909,10495773,29902668,19252388,1810512,16445087,10685514,25528414,34416349,12635693,36067115,28296077,12520913,10234475,24524755,21108033,26409624,6483898,28249225,19945719,17632194,9490185,1326057,31195231,18566892,20364252,15795064,30985881,17657459
Fenhexamid	nephrotoxicity	3.39	1	22069658
Fenhexamid	hepatotoxicity	6.25	1	32194361
Hydrocortisone	genotoxicity	-2.17	29	15589249,12214557,14617432,30293597,25748629,12706398,34611221,33470054,16930669,8781380,2271712,18221981,15586444,33551101,20700465,11386717,12086044,16422263,15294438,17150242,17222355,17613133,16483653,11303593,2253604,16884839,24955954,15712285,18192012
Hydrocortisone	hepatotoxicity	-0.22	33	22494479,2852693,22039561,2820428,8079347,6142865,8839665,34533800,22147254,9351544,9120902,1716546,6971004,33086149,1506077,6151171,29533874,3450457,24471573,16740975,8855797,11878112,4007891,3140428,20829630,12131305,20843939,27484514,2475465,25656088,7704446,20726290,22195263
Hydrocortisone	neurotoxicity	-0.51	82	21064136,21687761,30529634,12555249,24592867,2267422,22018079,21969106,24662962,29729985,7704446,23255437,2578602,8656680,17971588,11282259,18281672,7666079,10694555,20064786,11354696,11745301,30537919,19164857,7729802,17594344,20973838,7894471,33970902,1381940,15514410,11019787,36030852,21431057,11842446,15677408,17047310,7978102,8919848,28130818,8689347,18437012,11070476,18568056,20191045,32888589,22794529,24501793,16541247,15996533,22175526,7063571,34725500,10591869,26290363,22209359,18513404,8632988,36044784,20440908,25665056,21412817,12099581,22706518,29366690,28810189,25220683,23255436,15794179,284172,31884009,19877499,19362426,11205419,22596206,17309521,21115460,7824546,28652501,22393386,29351245,28698013
Hydrocortisone	immunotoxicity	0.31	19	18958157,22982499,17976319,11205068,17707922,20810174,36122635,17180505,24617047,3146994,12201650,19406486,29594315,16445085,17915735,18583369,21655126,19196829,16263518
Hydrocortisone	hematotoxicity	-1.72	1	8541538
Hydrocortisone	ototoxicity	0.72	22	1950546,11349764,2112363,16968576,18578449,7310930,16890085,11176588,30878773,8588672,7610811,16625551,10908956,18598837,3031988,8733449,11589975,27845826,22430335,2161637,6331211,11802005
Hydrocortisone	cardiotoxicity	-2.04	11	15366976,15919819,21072273,15746880,4457230,7704446,22034142,12599205,16615097,15150548,11367509
Hydrocortisone	nephrotoxicity	-2.22	22	21342112,8845491,17879355,3435128,22470391,9926976,6891726,3274419,3190200,13364822,3971598,20142930,7704446,22034142,2827472,12599205,7043758,5102025,3319460,3733855,8409289,8062193
Clofibric_acid	genotoxicity	2.83	17	7681524,7909493,21954348,22539621,9439741,17880178,2191770,16696571,15833021,19680455,20926620,2457433,19177498,8526745,2040027,9347925,12771043
Clofibric_acid	neurotoxicity	-0.09	2	15519403,19492485
Clofibric_acid	hepatotoxicity	3.68	14	16250258,19362607,14993239,34015506,9294990,1905530,8001245,1729767,18230960,20981297,6439971,18589557,20953357,10713481
Clofibric_acid	nephrotoxicity	1.90	7	11096145,19492485,12193060,10713481,8625456,10199580,16672910
Ketoconazole	cardiotoxicity	2.01	20	21833176,9443607,20950441,22033499,8720305,34399343,9125290,6255542,9125289,10385214,16615097,21437146,12244568,10220483,15150548,21127749,1977935,11332679,21318007,35439480
Ketoconazole	genotoxicity	0.14	13	21540093,21187821,19690995,20507880,18347083,23142671,25576739,19902517,22844081,10519422,21218107,26706351,1749398
Ketoconazole	nephrotoxicity	2.07	39	14748798,3906911,15034161,9532915,15098810,11813465,9111267,2195479,3658089,12833934,1730901,3708922,15821045,29129847,11908170,6255542,21983858,4049500,11735605,2889119,11704745,8546171,3576671,22615681,1663200,20130772,22263104,31571253,1994529,11715729,18279532,11228175,2713774,2682943,15614453,20172332,19715995,3305834,9532936
Ketoconazole	ototoxicity	0.72	2	32981763,21430965
Ketoconazole	neurotoxicity	0.51	15	35439480,34399343,15098810,20110052,22126626,25656284,2682943,16472291,20345925,11735605,2644865,1321934,15319335,17727794,22258370
Ketoconazole	hepatotoxicity	4.55	127	11332679,36516906,11170509,12785685,20624855,22447115,2799042,12807360,6311129,1662959,15167592,16740975,16504461,18761400,21464197,18350147,4007605,9193882,20950441,17003847,12739759,21070748,2068844,3537785,6277999,1815425,25216238,1814474,32561335,11228175,2881126,1357148,24671957,12904277,9351544,2852693,3442185,28400237,29847931,26886724,32330997,15695022,20803752,7801332,9303518,3796103,6151171,12763371,36795936,18466103,20233841,3373408,25024403,28805726,25612170,17576325,2795405,20829430,27406945,3564069,27422753,10421614,31099283,22931300,15866677,3587297,12238146,11881322,23526600,22258563,25851819,25775613,26718876,27113703,6303886,34750194,12815613,35994611,34798123,9057891,29472378,23686521,21964476,28335386,3214090,1965418,8077514,1576399,30578885,21822469,25379734,23956101,28331311,18541695,3450457,31168027,8520099,20130764,23565644,15027815,9120902,18547382,17933722,21546349,25409549,20843939,23895707,27816466,17283379,7886687,8886607,12131305,22195263,21741958,9713096,12745877,7496865,31332882,36036308,36037622,20553011,26965496,24471573,3101906,20041011,20829630,3586729
